#,PROCEDURE,beam-profile-fsm
#,VERSION,1.1.3
#,DATETIME,2022-11-21T19:07:07Z
#,Export Type, Profile Data
#,FSM,D03-FSM-001
#,TIA gain,10^3
#,PMT gain,BLO
#,ACT,
#,ACT min current,5.000000e+00
#,Measurement type,Current
#,N measurements at each position,20
#,Horizontal Long Window Begin [s],0.000000e+00
#,Horizontal Long Window Width [s],0.000000e+00
#,Vertical Long Window Begin [s],0.000000e+00
#,Vertical Long Window Width [s],0.000000e+00
#,Window 1 Begin [s],4.700000e-06
#,Window 1 Width [s],9.000000e-07
#,Window 2 Begin [s],4.700000e-06
#,Window 2 Width [s],9.000000e-07
#,Window 3 Begin [s],4.700000e-06
#,Window 3 Width [s],9.000000e-07
#,Window 4 Begin [s],4.700000e-06
#,Window 4 Width [s],9.000000e-07
Direction,Fibre Position [m],Long Window Mean of Mean [A],Long Window Sigma of Mean [A],Long Window Normalized [A],Long Window Sigma of Normalized [A],Window 1 Mean of Mean [A],Window 1 Sigma of Mean [A],Window 1 Normalized [A],Window 1 Sigma of Normalized [A],Window 2 Mean of Mean [A],Window 2 Sigma of Mean [A],Window 2 Normalized [A],Window 2 Sigma of Normalized [A],Window 3 Mean of Mean [A],Window 3 Sigma of Mean [A],Window 3 Normalized [A],Window 3 Sigma of Normalized [A],Window 4 Mean of Mean [A],Window 4 Sigma of Mean [A],Window 4 Normalized [A],Window 4 Sigma of Normalized [A]
Horizontal,-1.500700e-02,1.959986e-10,2.634444e-11,nan,nan,1.959986e-10,2.634444e-11,nan,nan,1.959986e-10,2.634444e-11,nan,nan,1.959986e-10,2.634444e-11,nan,nan,1.959986e-10,2.634444e-11,nan,nan
Horizontal,-1.422700e-02,1.959986e-10,2.449983e-11,nan,nan,1.959986e-10,2.449983e-11,nan,nan,1.959986e-10,2.449983e-11,nan,nan,1.959986e-10,2.449983e-11,nan,nan,1.959986e-10,2.449983e-11,nan,nan
Horizontal,-1.346700e-02,2.067173e-10,2.539273e-11,nan,nan,2.067173e-10,2.539273e-11,nan,nan,2.067173e-10,2.539273e-11,nan,nan,2.067173e-10,2.539273e-11,nan,nan,2.067173e-10,2.539273e-11,nan,nan
Horizontal,-1.268700e-02,2.128423e-10,3.684532e-11,nan,nan,2.128423e-10,3.684532e-11,nan,nan,2.128423e-10,3.684532e-11,nan,nan,2.128423e-10,3.684532e-11,nan,nan,2.128423e-10,3.684532e-11,nan,nan
Horizontal,-1.192700e-02,1.959986e-10,3.921886e-11,nan,nan,1.959986e-10,3.921886e-11,nan,nan,1.959986e-10,3.921886e-11,nan,nan,1.959986e-10,3.921886e-11,nan,nan,1.959986e-10,3.921886e-11,nan,nan
Horizontal,-1.114700e-02,1.883424e-10,2.002355e-11,nan,nan,1.883424e-10,2.002355e-11,nan,nan,1.883424e-10,2.002355e-11,nan,nan,1.883424e-10,2.002355e-11,nan,nan,1.883424e-10,2.002355e-11,nan,nan
Horizontal,-1.038700e-02,2.204985e-10,4.176664e-11,nan,nan,2.204985e-10,4.176664e-11,nan,nan,2.204985e-10,4.176664e-11,nan,nan,2.204985e-10,4.176664e-11,nan,nan,2.204985e-10,4.176664e-11,nan,nan
Horizontal,-9.607000e-03,2.036548e-10,3.906911e-11,nan,nan,2.036548e-10,3.906911e-11,nan,nan,2.036548e-10,3.906911e-11,nan,nan,2.036548e-10,3.906911e-11,nan,nan,2.036548e-10,3.906911e-11,nan,nan
Horizontal,-8.847000e-03,2.021236e-10,3.410232e-11,nan,nan,2.021236e-10,3.410232e-11,nan,nan,2.021236e-10,3.410232e-11,nan,nan,2.021236e-10,3.410232e-11,nan,nan,2.021236e-10,3.410232e-11,nan,nan
Horizontal,-8.087000e-03,2.235609e-10,3.077753e-11,nan,nan,2.235609e-10,3.077753e-11,nan,nan,2.235609e-10,3.077753e-11,nan,nan,2.235609e-10,3.077753e-11,nan,nan,2.235609e-10,3.077753e-11,nan,nan
Horizontal,-7.307000e-03,2.159047e-10,2.981005e-11,nan,nan,2.159047e-10,2.981005e-11,nan,nan,2.159047e-10,2.981005e-11,nan,nan,2.159047e-10,2.981005e-11,nan,nan,2.159047e-10,2.981005e-11,nan,nan
Horizontal,-6.547000e-03,2.159047e-10,3.684532e-11,nan,nan,2.159047e-10,3.684532e-11,nan,nan,2.159047e-10,3.684532e-11,nan,nan,2.159047e-10,3.684532e-11,nan,nan,2.159047e-10,3.684532e-11,nan,nan
Horizontal,-5.767000e-03,2.082485e-10,3.825034e-11,nan,nan,2.082485e-10,3.825034e-11,nan,nan,2.082485e-10,3.825034e-11,nan,nan,2.082485e-10,3.825034e-11,nan,nan,2.082485e-10,3.825034e-11,nan,nan
Horizontal,-5.007000e-03,2.143735e-10,3.750755e-11,nan,nan,2.143735e-10,3.750755e-11,nan,nan,2.143735e-10,3.750755e-11,nan,nan,2.143735e-10,3.750755e-11,nan,nan,2.143735e-10,3.750755e-11,nan,nan
Horizontal,-4.227000e-03,2.082485e-10,3.298390e-11,nan,nan,2.082485e-10,3.298390e-11,nan,nan,2.082485e-10,3.298390e-11,nan,nan,2.082485e-10,3.298390e-11,nan,nan,2.082485e-10,3.298390e-11,nan,nan
Horizontal,-3.467000e-03,2.296859e-10,5.078546e-11,nan,nan,2.296859e-10,5.078546e-11,nan,nan,2.296859e-10,5.078546e-11,nan,nan,2.296859e-10,5.078546e-11,nan,nan,2.296859e-10,5.078546e-11,nan,nan
Horizontal,-2.687000e-03,2.327484e-10,5.251057e-11,nan,nan,2.327484e-10,5.251057e-11,nan,nan,2.327484e-10,5.251057e-11,nan,nan,2.327484e-10,5.251057e-11,nan,nan,2.327484e-10,5.251057e-11,nan,nan
Horizontal,-1.927000e-03,2.603107e-10,1.279295e-10,nan,nan,2.603107e-10,1.279295e-10,nan,nan,2.603107e-10,1.279295e-10,nan,nan,2.603107e-10,1.279295e-10,nan,nan,2.603107e-10,1.279295e-10,nan,nan
Horizontal,-1.147000e-03,1.280116e-09,2.828255e-09,nan,nan,1.280116e-09,2.828255e-09,nan,nan,1.280116e-09,2.828255e-09,nan,nan,1.280116e-09,2.828255e-09,nan,nan,1.280116e-09,2.828255e-09,nan,nan
Horizontal,-3.870000e-04,2.609232e-09,5.435365e-09,nan,nan,2.609232e-09,5.435365e-09,nan,nan,2.609232e-09,5.435365e-09,nan,nan,2.609232e-09,5.435365e-09,nan,nan,2.609232e-09,5.435365e-09,nan,nan
Horizontal,3.930000e-04,6.343924e-09,9.407106e-09,nan,nan,6.343924e-09,9.407106e-09,nan,nan,6.343924e-09,9.407106e-09,nan,nan,6.343924e-09,9.407106e-09,nan,nan,6.343924e-09,9.407106e-09,nan,nan
Horizontal,1.153000e-03,5.827897e-09,1.132210e-08,nan,nan,5.827897e-09,1.132210e-08,nan,nan,5.827897e-09,1.132210e-08,nan,nan,5.827897e-09,1.132210e-08,nan,nan,5.827897e-09,1.132210e-08,nan,nan
Horizontal,1.913000e-03,1.331259e-08,1.345519e-08,nan,nan,1.331259e-08,1.345519e-08,nan,nan,1.331259e-08,1.345519e-08,nan,nan,1.331259e-08,1.345519e-08,nan,nan,1.331259e-08,1.345519e-08,nan,nan
Horizontal,2.693000e-03,1.609332e-09,2.111011e-09,nan,nan,1.609332e-09,2.111011e-09,nan,nan,1.609332e-09,2.111011e-09,nan,nan,1.609332e-09,2.111011e-09,nan,nan,1.609332e-09,2.111011e-09,nan,nan
Horizontal,3.453000e-03,6.994701e-09,1.164283e-08,nan,nan,6.994701e-09,1.164283e-08,nan,nan,6.994701e-09,1.164283e-08,nan,nan,6.994701e-09,1.164283e-08,nan,nan,6.994701e-09,1.164283e-08,nan,nan
Horizontal,4.233000e-03,3.336570e-09,7.911571e-09,nan,nan,3.336570e-09,7.911571e-09,nan,nan,3.336570e-09,7.911571e-09,nan,nan,3.336570e-09,7.911571e-09,nan,nan,3.336570e-09,7.911571e-09,nan,nan
Horizontal,4.993000e-03,3.338102e-09,6.428521e-09,nan,nan,3.338102e-09,6.428521e-09,nan,nan,3.338102e-09,6.428521e-09,nan,nan,3.338102e-09,6.428521e-09,nan,nan,3.338102e-09,6.428521e-09,nan,nan
Horizontal,5.773000e-03,1.095295e-08,1.487857e-08,nan,nan,1.095295e-08,1.487857e-08,nan,nan,1.095295e-08,1.487857e-08,nan,nan,1.095295e-08,1.487857e-08,nan,nan,1.095295e-08,1.487857e-08,nan,nan
Horizontal,6.533000e-03,8.290129e-09,1.047844e-08,nan,nan,8.290129e-09,1.047844e-08,nan,nan,8.290129e-09,1.047844e-08,nan,nan,8.290129e-09,1.047844e-08,nan,nan,8.290129e-09,1.047844e-08,nan,nan
Horizontal,7.313000e-03,9.631495e-09,1.106815e-08,nan,nan,9.631495e-09,1.106815e-08,nan,nan,9.631495e-09,1.106815e-08,nan,nan,9.631495e-09,1.106815e-08,nan,nan,9.631495e-09,1.106815e-08,nan,nan
Horizontal,8.073000e-03,1.065589e-08,1.162133e-08,nan,nan,1.065589e-08,1.162133e-08,nan,nan,1.065589e-08,1.162133e-08,nan,nan,1.065589e-08,1.162133e-08,nan,nan,1.065589e-08,1.162133e-08,nan,nan
Horizontal,8.853000e-03,4.981121e-09,7.781325e-09,nan,nan,4.981121e-09,7.781325e-09,nan,nan,4.981121e-09,7.781325e-09,nan,nan,4.981121e-09,7.781325e-09,nan,nan,4.981121e-09,7.781325e-09,nan,nan
Horizontal,9.613000e-03,2.111579e-09,4.066361e-09,nan,nan,2.111579e-09,4.066361e-09,nan,nan,2.111579e-09,4.066361e-09,nan,nan,2.111579e-09,4.066361e-09,nan,nan,2.111579e-09,4.066361e-09,nan,nan
Horizontal,1.039300e-02,6.293393e-10,6.743349e-10,nan,nan,6.293393e-10,6.743349e-10,nan,nan,6.293393e-10,6.743349e-10,nan,nan,6.293393e-10,6.743349e-10,nan,nan,6.293393e-10,6.743349e-10,nan,nan
Horizontal,1.115300e-02,1.832893e-09,1.853528e-09,nan,nan,1.832893e-09,1.853528e-09,nan,nan,1.832893e-09,1.853528e-09,nan,nan,1.832893e-09,1.853528e-09,nan,nan,1.832893e-09,1.853528e-09,nan,nan
Horizontal,1.191300e-02,6.094332e-10,1.052526e-09,nan,nan,6.094332e-10,1.052526e-09,nan,nan,6.094332e-10,1.052526e-09,nan,nan,6.094332e-10,1.052526e-09,nan,nan,6.094332e-10,1.052526e-09,nan,nan
Horizontal,1.269300e-02,5.206213e-10,5.005068e-10,nan,nan,5.206213e-10,5.005068e-10,nan,nan,5.206213e-10,5.005068e-10,nan,nan,5.206213e-10,5.005068e-10,nan,nan,5.206213e-10,5.005068e-10,nan,nan
Horizontal,1.345300e-02,2.266234e-10,5.842837e-11,nan,nan,2.266234e-10,5.842837e-11,nan,nan,2.266234e-10,5.842837e-11,nan,nan,2.266234e-10,5.842837e-11,nan,nan,2.266234e-10,5.842837e-11,nan,nan
Horizontal,1.423300e-02,2.036548e-10,3.251856e-11,nan,nan,2.036548e-10,3.251856e-11,nan,nan,2.036548e-10,3.251856e-11,nan,nan,2.036548e-10,3.251856e-11,nan,nan,2.036548e-10,3.251856e-11,nan,nan
Horizontal,1.499300e-02,1.959986e-10,5.426726e-11,nan,nan,1.959986e-10,5.426726e-11,nan,nan,1.959986e-10,5.426726e-11,nan,nan,1.959986e-10,5.426726e-11,nan,nan,1.959986e-10,5.426726e-11,nan,nan
Vertical,-9.007000e-03,8.629059e-11,1.208669e-11,nan,nan,8.629059e-11,1.208669e-11,nan,nan,8.629059e-11,1.208669e-11,nan,nan,8.629059e-11,1.208669e-11,nan,nan,8.629059e-11,1.208669e-11,nan,nan
